6.876635277653733: 1304/19268
15.744181939261777: 1372/19268
24.049849259785947: 1404/19268
31.952909580924732: 1510/19268
36.675091696444376: 3235/19268
43.894945170716625: 3252/19268
53.94431325644271: 4747/19268
63.95283971034016: 4760/19268
68.57055521379168: 4772/19268
75.6760811438156: 4779/19268
87.22201928753937: 4921/19268
92.25111412866806: 5133/19268
99.84091065001466: 5226/19268
112.50398158554829: 5238/19268
116.65689826368444: 5344/19268
125.46327696023563: 5363/19268
131.44911038057498: 5384/19268
139.9718818377269: 5462/19268
146.57305905229722: 5463/19268
158.98470031626292: 5475/19268
166.20855705752192: 5477/19268
167.27933852302067: 5477/19268
176.6493467735979: 5484/19268
187.6136001775916: 5490/19268
191.34838858984247: 5501/19268
201.9956762159331: 5502/19268
211.05535749503971: 5502/19268
213.89348009243457: 5514/19268
225.19773721163344: 5520/19268
227.88291888478633: 5520/19268
239.61793830191104: 5520/19268
247.10753235916377: 5520/19268
252.1404863514318: 5520/19268
259.6278649867213: 5590/19268
266.8861790861349: 5596/19268
276.653961321704: 5596/19268
282.192942132621: 5601/19268
290.962390383026: 5602/19268
298.7622391918371: 5603/19268
306.86880711557734: 5603/19268
317.93913568420595: 5681/19268
321.53483426114724: 5692/19268
328.31011153734545: 5692/19268
337.69903028949597: 5704/19268
347.5702961489882: 5707/19268
353.3118952139991: 5707/19268
358.8505114525919: 5711/19268
367.43889177412785: 5815/19268
376.57095846789554: 5841/19268
382.47544672901756: 5846/19268
391.7640771240934: 5847/19268
404.1430271735133: 5848/19268
408.15688226595626: 5848/19268
419.1997406600392: 5854/19268
429.9868798474349: 5873/19268
435.18831638144013: 5879/19268
441.2656137150124: 5879/19268
452.58988409440445: 5883/19268
457.45030971149475: 5889/19268
464.19484520863045: 5890/19268
473.77742308606577: 5893/19268
482.8029497315118: 5895/19268
488.96197758384994: 5895/19268
495.34807706232607: 5900/19268
504.79004909348976: 5905/19268
515.2478548786931: 5905/19268
525.3725114664784: 5905/19268
531.1259523767961: 5905/19268
541.7969276123036: 5913/19268
548.3023450930525: 5913/19268
553.3867229629842: 5913/19268
560.9859441406398: 5918/19268
570.277023783198: 5944/19268
581.7557968459391: 5995/19268
587.0688666290449: 6007/19268
596.785659220228: 6007/19268
602.6112321623586: 6010/19268
609.0690512509701: 6010/19268
616.3617900093616: 6010/19268
626.3882264635968: 6015/19268
635.5373786733213: 6015/19268
641.3361674647726: 6015/19268
649.6091302452479: 6018/19268
655.940220962459: 6018/19268
663.7707242645005: 6041/19268
672.6563054086828: 6042/19268
677.2785472088548: 6042/19268
684.4978453685823: 6042/19268
694.5237016508079: 6062/19268
700.7459678145342: 6062/19268
707.769907270066: 6070/19268
717.540425081379: 6073/19268
723.9509159808892: 6074/19268
729.3854057336234: 6074/19268
740.8737513687719: 6074/19268
747.0175458850418: 6074/19268
753.0809779342667: 6074/19268
763.2923487455702: 6074/19268
768.7804769317379: 6074/19268
776.4606234349088: 6074/19268
784.3181915378593: 6085/19268
792.8052805241701: 6085/19268
802.5394011998013: 6085/19268
804.9511933259523: 6085/19268
