19.28896608815897: 5002/19268
32.816060239797736: 5081/19268
47.151006392661245: 5400/19268
57.74137618161711: 5428/19268
74.83628237558439: 5868/19268
90.58613589936675: 5868/19268
97.21988523230027: 6023/19268
114.31723085836659: 6023/19268
129.9482009050945: 6023/19268
150.16997113580868: 6023/19268
176.10940958692856: 6122/19268
182.97126339412046: 6122/19268
199.25827416368682: 6122/19268
221.11219334758965: 6122/19268
239.05180664677033: 6221/19268
259.0840646574815: 6221/19268
278.4506843181959: 6244/19268
290.5109182768426: 6291/19268
308.5729634200917: 6291/19268
320.5825235591425: 6303/19268
339.7956424796806: 6304/19268
358.18396573067105: 6360/19268
377.82046220445403: 6360/19268
385.76845787500207: 6360/19268
395.62603769082557: 6360/19268
414.70724650051767: 6360/19268
422.5505224996732: 6403/19268
438.51094940334735: 6403/19268
460.18624589332137: 6403/19268
482.1479275552355: 6403/19268
500.2640171824195: 6403/19268
509.4041990332951: 6451/19268
528.7321391441894: 6451/19268
547.7261153955817: 6451/19268
569.8417880804409: 6451/19268
585.3332160227118: 6451/19268
607.3339380317713: 6451/19268
629.8359244298244: 6451/19268
647.1453046256422: 6451/19268
664.9732697851501: 6502/19268
685.3898585251761: 6502/19268
702.6060254979366: 6503/19268
716.6100814264425: 6503/19268
734.1869264011884: 6503/19268
745.3721373229064: 6503/19268
760.1131378111091: 6503/19268
780.9008093361335: 6503/19268
797.1265584803848: 6503/19268
820.5722455750343: 6503/19268
840.208793601388: 6503/19268
856.7545306241362: 6529/19268
869.0625299567233: 6529/19268
889.8859180472942: 6529/19268
904.5157138634916: 6529/19268
915.2267953430652: 6561/19268
939.3479697450401: 6561/19268
954.9532583615296: 6561/19268
977.9321744310256: 6580/19268
994.7760468486995: 6580/19268
1005.8682314012087: 6580/19268
1029.744791923749: 6580/19268
1050.2527580296924: 6580/19268
1076.6355555257014: 6580/19268
1096.8173452477115: 6580/19268
1115.6436567868284: 6580/19268
1123.5874513731933: 6580/19268
1140.0838143634203: 6625/19268
1162.2145991466023: 6625/19268
1178.9079799427388: 6674/19268
1198.3292788999402: 6674/19268
1217.637203614288: 6674/19268
1229.4726728174462: 6674/19268
1248.708186991629: 6674/19268
1269.1943396003912: 6674/19268
1287.4679831267263: 6674/19268
1292.836580176436: 6674/19268
1311.6167590949194: 6674/19268
1327.0687168279185: 6674/19268
1350.6228132160497: 6674/19268
1360.4835963072126: 6674/19268
1382.6281707157696: 6674/19268
1388.2064018886556: 6674/19268
1407.6496936096598: 6674/19268
1428.3957881573422: 6674/19268
1446.2650234256294: 6674/19268
1472.0789549250342: 6674/19268
1488.7651393207325: 6674/19268
1512.3338094197634: 6674/19268
1535.0235607288264: 6674/19268
1558.455151738689: 6674/19268
1589.5087140604762: 6674/19268
1604.4614043525228: 6674/19268
1630.0607757067019: 6674/19268
1648.1517935693573: 6674/19268
1663.9769989463873: 6706/19268
1680.2216609139755: 6710/19268
1699.4291696325529: 6710/19268
1710.1284133959393: 6710/19268
1726.9423357039293: 6710/19268
1748.1000247224608: 6710/19268
1769.7343483154632: 6710/19268
1775.8344137818146: 6710/19268
1792.0788317609786: 6710/19268
1802.7265200255954: 6710/19268
1821.044312823843: 6710/19268
1843.5759204541082: 6715/19268
1854.1929820515322: 6715/19268
1874.1575051434966: 6715/19268
1896.2474912269809: 6717/19268
1906.5572015308696: 6717/19268
1923.9366974580114: 6717/19268
1942.668905531735: 6718/19268
1955.2854754394364: 6718/19268
1971.685435234081: 6718/19268
1992.5853002806884: 6718/19268
2014.5191458547836: 6718/19268
2029.3601142338082: 6718/19268
2051.3008983460695: 6718/19268
2068.9693319028984: 6718/19268
2088.4231168321517: 6718/19268
2097.6049169360413: 6719/19268
2118.3178313553885: 6719/19268
2133.652850995431: 6719/19268
2161.9783365450185: 6719/19268
2187.254860801035: 6719/19268
2208.687983624598: 6719/19268
2225.3870862674476: 6719/19268
2232.1686089455707: 6719/19268
2253.499103793468: 6719/19268
2263.5432215355745: 6719/19268
2277.5405704046834: 6720/19268
2295.4020605976716: 6720/19268
2302.4277003795023: 6720/19268
2325.7283563948863: 6720/19268
2340.7744014980376: 6720/19268
2367.9570866129884: 6720/19268
2383.7957691514953: 6720/19268
2403.3548963838984: 6720/19268
2421.787827764048: 6757/19268
2432.7635467421856: 6757/19268
2446.289186742966: 6757/19268
2473.1436130052225: 6757/19268
2490.214384643982: 6757/19268
2510.0331798507427: 6757/19268
2529.737801064823: 6757/19268
2544.6022922321195: 6758/19268
2566.44114536752: 6758/19268
