Position(function_name='main', line_start=40, column_start=10, line_end=40, column_end=29)
Position(function_name='_ZNK8solidity8langutil14SourceLocationeqERKS1_', line_start=43, column_start=10, line_end=43, column_end=31)
Position(function_name='_ZNK8solidity8langutil14SourceLocationeqERKS1_', line_start=43, column_start=35, line_end=43, column_end=52)
Position(function_name='_ZNK8solidity8langutil14SourceLocationeqERKS1_', line_start=43, column_start=56, line_end=43, column_end=76)
Position(function_name='_ZNK8solidity8langutil14SourceLocation12equalSourcesERKS1_', line_start=80, column_start=7, line_end=80, column_end=17)
Position(function_name='_ZNK8solidity8langutil14SourceLocation7isValidEv', line_start=85, column_start=32, line_end=85, column_end=42)
Position(function_name='_ZNK8solidity8langutil14SourceLocation7hasTextEv', line_start=87, column_start=32, line_end=87, column_end=42)
Position(function_name='_ZNK8solidity8langutil14SourceLocation7hasTextEv', line_start=87, column_start=46, line_end=87, column_end=56)
Position(function_name='_ZNK8solidity8langutil14SourceLocation7hasTextEv', line_start=87, column_start=60, line_end=87, column_end=72)
Position(function_name='_ZN8solidity8langutil14SourceLocation16smallestCoveringES1_RKS1_', line_start=96, column_start=7, line_end=96, column_end=21)
Position(function_name='_ZN8solidity8langutil14SourceLocation16smallestCoveringES1_RKS1_', line_start=99, column_start=7, line_end=99, column_end=19)
Position(function_name='_ZN8solidity8langutil14SourceLocation16smallestCoveringES1_RKS1_', line_start=101, column_start=12, line_end=101, column_end=25)
Position(function_name='_ZN8solidity8langutil14SourceLocation16smallestCoveringES1_RKS1_', line_start=101, column_start=29, line_end=101, column_end=48)
Position(function_name='_ZN8solidity8langutil14SourceLocation16smallestCoveringES1_RKS1_', line_start=103, column_start=7, line_end=103, column_end=22)
Position(function_name='_ZN8solidity4util15stringOrDefaultENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_', line_start=631, column_start=10, line_end=631, column_end=26)
Position(function_name='_ZN8solidity8langutil5Error13errorSeverityENS1_4TypeE', line_start=229, column_start=4, line_end=229, column_end=22)
Position(function_name='_ZN8solidity8langutil5Error13errorSeverityENS1_4TypeE', line_start=230, column_start=4, line_end=230, column_end=11)
Position(function_name='_ZN8solidity8langutil5Error14containsErrorsERKSt6vectorISt10shared_ptrIKS1_ESaIS5_EE', line_start=253, column_start=14, line_end=253, column_end=15)
Position(function_name='_ZN8solidity8langutil5Error14containsErrorsERKSt6vectorISt10shared_ptrIKS1_ESaIS5_EE', line_start=254, column_start=8, line_end=254, column_end=26)
Position(function_name='_ZN8solidity8langutil5Error19formatErrorSeverityB5cxx11ENS1_8SeverityE', line_start=269, column_start=3, line_end=269, column_end=25)
Position(function_name='_ZN8solidity8langutil5Error19formatErrorSeverityB5cxx11ENS1_8SeverityE', line_start=270, column_start=3, line_end=270, column_end=23)
Position(function_name='_ZN8solidity8frontend23stateMutabilityToStringB5cxx11ERKNS0_15StateMutabilityE', line_start=48, column_start=2, line_end=48, column_end=28)
Position(function_name='_ZN8solidity8frontend23stateMutabilityToStringB5cxx11ERKNS0_15StateMutabilityE', line_start=50, column_start=2, line_end=50, column_end=28)
Position(function_name='_ZN8solidity8frontend23stateMutabilityToStringB5cxx11ERKNS0_15StateMutabilityE', line_start=52, column_start=2, line_end=52, column_end=34)
Position(function_name='_ZN8solidity8langutil11TokenTraits20isElementaryTypeNameENS0_5TokenE', line_start=305, column_start=61, line_end=305, column_end=81)
Position(function_name='_ZN8solidity8langutil11TokenTraits20isElementaryTypeNameENS0_5TokenE', line_start=305, column_start=85, line_end=305, column_end=109)
Position(function_name='_ZN8solidity8langutil11TokenTraits14isAssignmentOpENS0_5TokenE', line_start=306, column_start=52, line_end=306, column_end=72)
Position(function_name='_ZN8solidity8langutil11TokenTraits14isAssignmentOpENS0_5TokenE', line_start=306, column_start=76, line_end=306, column_end=99)
Position(function_name='_ZN8solidity8langutil11TokenTraits10isBinaryOpENS0_5TokenE', line_start=307, column_start=47, line_end=307, column_end=65)
Position(function_name='_ZN8solidity8langutil11TokenTraits10isBinaryOpENS0_5TokenE', line_start=307, column_start=69, line_end=307, column_end=85)
Position(function_name='_ZN8solidity8langutil11TokenTraits14isArithmeticOpENS0_5TokenE', line_start=310, column_start=51, line_end=310, column_end=67)
Position(function_name='_ZN8solidity8langutil11TokenTraits14isArithmeticOpENS0_5TokenE', line_start=310, column_start=71, line_end=310, column_end=87)
Position(function_name='_ZN8solidity8langutil11TokenTraits11isCompareOpENS0_5TokenE', line_start=311, column_start=48, line_end=311, column_end=66)
Position(function_name='_ZN8solidity8langutil11TokenTraits11isCompareOpENS0_5TokenE', line_start=311, column_start=70, line_end=311, column_end=101)
Position(function_name='_ZN8solidity8langutil11TokenTraits7isBitOpENS0_5TokenE', line_start=313, column_start=45, line_end=313, column_end=63)
Position(function_name='_ZN8solidity8langutil11TokenTraits7isBitOpENS0_5TokenE', line_start=313, column_start=67, line_end=313, column_end=86)
Position(function_name='_ZN8solidity8langutil11TokenTraits7isBitOpENS0_5TokenE', line_start=313, column_start=91, line_end=313, column_end=110)
Position(function_name='_ZN8solidity8langutil11TokenTraits11isBooleanOpENS0_5TokenE', line_start=314, column_start=49, line_end=314, column_end=64)
