7.742533784100837: 6666/47276
17.04300880196128: 13151/47276
25.352211652552718: 15188/47276
32.72029774127121: 15336/47276
43.9677807868891: 15373/47276
52.105490921835866: 15373/47276
59.60141580741528: 15503/47276
68.813510578209: 18069/47276
77.69917204193551: 18091/47276
86.23437205641275: 18091/47276
95.73085934055709: 19209/47276
103.72793814848482: 19272/47276
111.68004522291268: 19677/47276
120.33128699932124: 19721/47276
131.03133856751566: 20176/47276
139.1253957617506: 20250/47276
147.80920738740176: 20287/47276
157.74216688151094: 20288/47276
165.12963282222663: 20332/47276
174.23075197554553: 20387/47276
184.76487005642576: 20568/47276
192.5240382899793: 20721/47276
202.55299479527415: 20723/47276
208.86206269745682: 20878/47276
217.36811205440395: 20878/47276
228.40603864365974: 20916/47276
234.83942140528666: 20947/47276
245.31850697081808: 20977/47276
254.21808541838507: 21033/47276
262.57820525742795: 21033/47276
271.0287784587777: 21063/47276
279.37529768438026: 21089/47276
288.45598903354414: 21598/47276
295.49134508279064: 21745/47276
307.41678222926384: 21867/47276
317.3137985095418: 21867/47276
324.86221680956555: 21867/47276
335.4846823850881: 21867/47276
345.1614074025041: 21986/47276
354.07152367656494: 21986/47276
363.47863540898925: 21997/47276
373.60689594913543: 22022/47276
380.7388833166658: 22022/47276
388.91190065450996: 22022/47276
396.5203909097888: 22039/47276
406.64349620805615: 22039/47276
416.3266914537829: 22039/47276
426.03225886454203: 22095/47276
435.0258283734165: 22096/47276
441.9541784570651: 22096/47276
452.587977205984: 22096/47276
460.1828051896558: 22096/47276
470.23480795378816: 22102/47276
479.3143177222593: 22158/47276
490.45509787735597: 22158/47276
497.8529074200212: 22168/47276
507.6162837057825: 22168/47276
514.5161494654191: 22168/47276
524.465992829628: 22168/47276
533.2189814727448: 22168/47276
543.2341131419533: 22168/47276
552.7903426359767: 22176/47276
561.1344052547023: 22198/47276
569.0695561441074: 22314/47276
577.6238447807108: 22316/47276
587.0582540170511: 22334/47276
597.2984255160706: 22334/47276
605.0394442055157: 22334/47276
615.8457673451244: 22334/47276
623.0768113792839: 22356/47276
631.1695300645763: 22356/47276
639.6853708409978: 22378/47276
649.8357555643214: 22452/47276
659.6029643794764: 22457/47276
665.9547595775027: 22457/47276
678.3256741965391: 22457/47276
686.0055561483734: 22457/47276
694.5477693741379: 22457/47276
704.6169874072561: 22457/47276
712.805601380047: 22457/47276
721.8892764770686: 22457/47276
730.4828439415777: 22516/47276
738.5471746700107: 22516/47276
748.4823206242503: 22516/47276
758.4385577171266: 22516/47276
765.7934232321107: 22516/47276
776.2710805817571: 22516/47276
785.538364543409: 22516/47276
794.0738755167539: 22529/47276
803.3428085334099: 22594/47276
811.6953456178427: 22594/47276
819.8418517253377: 22594/47276
828.413592355481: 22594/47276
837.5112271150966: 22594/47276
846.559881416374: 22594/47276
855.8488049849981: 22594/47276
865.4099237963742: 22594/47276
874.5003564277062: 22594/47276
885.6873118921808: 22594/47276
891.6289846174761: 22594/47276
901.2647590007249: 22594/47276
910.4820237276134: 22594/47276
918.9165057087816: 22594/47276
928.6518852022003: 22594/47276
937.4717310362129: 22594/47276
947.022294111635: 22594/47276
955.7502960549702: 22594/47276
964.0223931262606: 22598/47276
973.2106572381273: 22598/47276
982.7312454354438: 22598/47276
990.3870962816842: 22635/47276
1000.2845207604023: 22635/47276
1008.881084523943: 22635/47276
1023.3333223148062: 22635/47276
1031.0753799164822: 22635/47276
1041.2142518892913: 22635/47276
1049.841753743078: 22635/47276
1059.9753393781357: 22635/47276
1068.713817781854: 22635/47276
1078.2045842869607: 22693/47276
1085.6482065092373: 22704/47276
1093.518425453416: 22704/47276
1104.0242373494816: 22728/47276
1112.5315429462398: 22728/47276
1121.7446961285864: 22728/47276
1132.1341977116094: 22751/47276
1141.623236937382: 22751/47276
1150.4125129194656: 22751/47276
1158.6736830630032: 22751/47276
1167.1669039478631: 22761/47276
1178.333455131165: 22761/47276
1184.9722878114947: 22761/47276
