13.103055715560913: 16278/47276
26.098702907562256: 19503/47276
41.06935167312622: 20863/47276
53.83423042297363: 21274/47276
66.93065333366394: 21478/47276
80.35788917541504: 21855/47276
95.1018316745758: 22144/47276
108.28323745727539: 22337/47276
120.86613202095032: 22373/47276
134.63785600662231: 22389/47276
147.37009453773499: 22394/47276
158.19632387161255: 22434/47276
169.8205726146698: 22479/47276
184.26309537887573: 22507/47276
197.01669454574585: 22520/47276
210.52289748191833: 22571/47276
223.61696481704712: 22645/47276
237.90389585494995: 22821/47276
251.25844311714172: 22823/47276
263.74396109580994: 22823/47276
276.8376169204712: 22824/47276
289.5365312099457: 22825/47276
304.6812651157379: 22862/47276
317.02258467674255: 22862/47276
329.6646947860718: 22891/47276
342.66062092781067: 22910/47276
362.0546817779541: 22910/47276
377.96853590011597: 23048/47276
390.83682346343994: 23051/47276
405.8255214691162: 23073/47276
418.95614290237427: 23073/47276
432.6763164997101: 23088/47276
446.17186760902405: 23088/47276
458.4527404308319: 23088/47276
473.04653549194336: 23089/47276
485.57299304008484: 23090/47276
497.14020705223083: 23091/47276
508.15141439437866: 23091/47276
521.3992674350739: 23092/47276
534.0374798774719: 23096/47276
547.7774279117584: 23151/47276
557.8873629570007: 23151/47276
571.8692474365234: 23151/47276
584.5305006504059: 23173/47276
598.4703435897827: 23177/47276
608.5699586868286: 23179/47276
621.9619610309601: 23205/47276
632.6980519294739: 23205/47276
645.5484960079193: 23228/47276
658.1653964519501: 23228/47276
672.6486918926239: 23230/47276
685.9848322868347: 23230/47276
699.0777225494385: 23232/47276
712.8124470710754: 23232/47276
727.3895061016083: 23233/47276
739.9752929210663: 23233/47276
753.6088311672211: 23238/47276
768.1962411403656: 23238/47276
778.8673887252808: 23238/47276
794.1349742412567: 23240/47276
806.6939425468445: 23240/47276
822.2646338939667: 23240/47276
833.1203317642212: 23240/47276
845.3339672088623: 23240/47276
858.0139031410217: 23242/47276
870.1821520328522: 23242/47276
882.7866013050079: 23242/47276
896.8240423202515: 23266/47276
911.1939108371735: 23267/47276
925.4781405925751: 23267/47276
939.4978091716766: 23267/47276
951.006386756897: 23267/47276
963.0539174079895: 23267/47276
975.8297700881958: 23267/47276
989.1298260688782: 23267/47276
1001.3604953289032: 23267/47276
1020.9863176345825: 23267/47276
1032.9035589694977: 23267/47276
1045.4417748451233: 23267/47276
1055.8448221683502: 23267/47276
1068.7819895744324: 23267/47276
1079.327749490738: 23267/47276
1093.1273455619812: 23267/47276
1108.5866856575012: 23268/47276
1121.0765843391418: 23268/47276
1131.7103986740112: 23268/47276
1142.3451430797577: 23268/47276
1156.28018450737: 23268/47276
1167.2621264457703: 23268/47276
1180.5233719348907: 23268/47276
1194.3124244213104: 23268/47276
1208.307459115982: 23268/47276
1222.1806211471558: 23269/47276
1236.026389837265: 23269/47276
1253.4491922855377: 23457/47276
1266.2989008426666: 23457/47276
1279.2587506771088: 23457/47276
1291.242957830429: 23457/47276
1306.5413889884949: 23457/47276
1318.125129699707: 23457/47276
1332.5872256755829: 23457/47276
1345.562889099121: 23457/47276
1361.7755188941956: 23457/47276
1377.6269690990448: 23457/47276
1391.9100887775421: 23480/47276
1405.8852334022522: 23485/47276
1419.0592255592346: 23485/47276
1432.9369313716888: 23485/47276
1446.315191745758: 23485/47276
1458.2115614414215: 23487/47276
1473.5612213611603: 23487/47276
1487.590205669403: 23487/47276
1498.1342566013336: 23487/47276
1511.8723783493042: 23487/47276
1528.0270972251892: 23510/47276
1538.8735687732697: 23510/47276
1553.447988986969: 23511/47276
1566.8475828170776: 23511/47276
1582.1471049785614: 23511/47276
1596.5698680877686: 23511/47276
1619.4556257724762: 23511/47276
1633.0208003520966: 23511/47276
1645.1898441314697: 23511/47276
1657.6551387310028: 23511/47276
1671.1426236629486: 23511/47276
1681.7257061004639: 23511/47276
1695.3283030986786: 23521/47276
1708.231264591217: 23521/47276
1722.020929813385: 23521/47276
1734.2658295631409: 23521/47276
1746.8884718418121: 23521/47276
1762.4010167121887: 23523/47276
1779.679476261139: 23530/47276
1795.0790598392487: 23530/47276
1809.3664541244507: 23536/47276
1820.6115715503693: 23536/47276
1834.4809098243713: 23544/47276
1845.6099853515625: 23544/47276
1858.5775203704834: 23544/47276
1871.3433413505554: 23544/47276
1885.6419849395752: 23544/47276
1898.9314134120941: 23544/47276
1913.4215302467346: 23545/47276
1926.7578375339508: 23545/47276
1941.183012008667: 23546/47276
1952.609192609787: 23546/47276
1967.0583670139313: 23546/47276
1977.9028568267822: 23546/47276
1990.0646636486053: 23546/47276
2004.4561474323273: 23546/47276
2016.785756111145: 23546/47276
2031.1883001327515: 23547/47276
2044.745512008667: 23547/47276
2055.231561899185: 23547/47276
2068.6223080158234: 23592/47276
2082.18199968338: 23592/47276
2094.3006670475006: 23592/47276
2106.1814227104187: 23592/47276
2119.434545516968: 23592/47276
2133.417836666107: 23592/47276
2147.761357307434: 23592/47276
2161.873830795288: 23592/47276
2174.810421705246: 23592/47276
2188.822424888611: 23592/47276
2200.4691109657288: 23636/47276
2210.63219332695: 23636/47276
2222.5736656188965: 23636/47276
2235.4169194698334: 23636/47276
2248.4372918605804: 23636/47276
2261.337678670883: 23636/47276
2274.4721047878265: 23636/47276
2285.353397846222: 23639/47276
2297.2796471118927: 23639/47276
2312.3237221240997: 23639/47276
2325.6528358459473: 23639/47276
2338.190194606781: 23639/47276
2350.5421180725098: 23639/47276
2361.8897182941437: 23639/47276
2372.1786065101624: 23639/47276
2384.2467365264893: 23639/47276
2394.58153963089: 23639/47276
2405.6571419239044: 23639/47276
2427.229588031769: 23639/47276
2440.824444293976: 23639/47276
2453.712401151657: 23639/47276
2464.413004398346: 23639/47276
