1.2163498401641846: 11513/47276
2.3749122619628906: 11823/47276
3.5112977027893066: 13832/47276
4.627653360366821: 14505/47276
5.764088153839111: 15022/47276
6.9769980907440186: 15822/47276
8.117197036743164: 17972/47276
9.318796157836914: 17973/47276
10.459709644317627: 18004/47276
11.644152641296387: 18434/47276
12.79758334159851: 18470/47276
13.952510595321655: 18546/47276
15.068625211715698: 18647/47276
16.244775533676147: 19104/47276
17.359115600585938: 19170/47276
18.49239230155945: 19642/47276
19.633715867996216: 19652/47276
20.813480138778687: 19880/47276
21.983721017837524: 19893/47276
23.187089920043945: 20402/47276
24.350080251693726: 20402/47276
25.46057939529419: 20404/47276
26.6167049407959: 21634/47276
27.767078399658203: 21636/47276
28.891905784606934: 21662/47276
30.03442358970642: 21662/47276
31.191341638565063: 21677/47276
32.48585367202759: 21690/47276
33.633400201797485: 21691/47276
34.798558712005615: 21701/47276
36.01837682723999: 21703/47276
37.162718057632446: 21703/47276
38.32648229598999: 21987/47276
39.50745391845703: 22029/47276
40.65001964569092: 22029/47276
41.805601358413696: 22031/47276
43.003040075302124: 22115/47276
44.25957536697388: 22131/47276
45.402448892593384: 22144/47276
46.53760743141174: 22156/47276
47.7066969871521: 22156/47276
49.014294147491455: 22157/47276
50.15354037284851: 22197/47276
51.31136178970337: 22198/47276
52.46194815635681: 22201/47276
53.66332030296326: 22284/47276
54.82266354560852: 22286/47276
55.99083852767944: 22286/47276
57.158276319503784: 22286/47276
58.33637881278992: 22286/47276
59.46264028549194: 22286/47276
60.60285663604736: 22286/47276
61.75858521461487: 22291/47276
62.87277317047119: 22292/47276
64.04061031341553: 22292/47276
65.23022985458374: 22342/47276
66.38041639328003: 22342/47276
67.50006246566772: 22349/47276
73.70843744277954: 22570/47276
74.89775109291077: 22570/47276
76.16954803466797: 22581/47276
77.33453702926636: 22581/47276
78.50358057022095: 22581/47276
84.69728064537048: 22581/47276
85.8710949420929: 22581/47276
87.07952499389648: 22581/47276
88.51826739311218: 22581/47276
89.65138006210327: 22581/47276
90.8198070526123: 22581/47276
92.02978563308716: 22581/47276
93.21495819091797: 22581/47276
94.37296724319458: 22581/47276
95.61967349052429: 22581/47276
96.78038191795349: 22581/47276
97.90089225769043: 22581/47276
99.064688205719: 22582/47276
100.25964641571045: 22621/47276
101.43075394630432: 22627/47276
102.61625480651855: 22627/47276
103.80443477630615: 22635/47276
104.96440553665161: 22704/47276
106.08662438392639: 22704/47276
107.22682905197144: 22706/47276
108.37946009635925: 22706/47276
109.54278683662415: 22706/47276
110.65914964675903: 22706/47276
111.81248044967651: 22714/47276
112.9668881893158: 22761/47276
114.10911679267883: 22761/47276
115.2162435054779: 22761/47276
116.42541098594666: 22761/47276
117.57226657867432: 22761/47276
118.69277095794678: 22761/47276
119.85521173477173: 22761/47276
121.06697511672974: 22766/47276
122.21154141426086: 22767/47276
123.3528516292572: 22767/47276
124.53607678413391: 22767/47276
125.68740510940552: 22767/47276
126.84807348251343: 22767/47276
128.01715898513794: 22767/47276
129.20134162902832: 22779/47276
130.35255122184753: 22779/47276
131.50138211250305: 22789/47276
132.70363306999207: 22808/47276
133.8316421508789: 22808/47276
134.97856664657593: 22808/47276
136.18935418128967: 22816/47276
137.32323503494263: 22816/47276
138.4898738861084: 22816/47276
139.70644235610962: 22831/47276
140.94651865959167: 22831/47276
142.1625998020172: 22831/47276
143.35257649421692: 22840/47276
144.4889714717865: 22840/47276
145.63736534118652: 22840/47276
146.8272898197174: 22840/47276
147.98206853866577: 22840/47276
149.18105459213257: 22840/47276
150.3264925479889: 22840/47276
151.49520826339722: 22844/47276
152.71721506118774: 22844/47276
153.9129285812378: 22844/47276
155.07101917266846: 22844/47276
156.22531485557556: 22844/47276
157.36886429786682: 22844/47276
158.55291056632996: 22844/47276
159.72184920310974: 22844/47276
160.8587851524353: 22881/47276
162.0432493686676: 22886/47276
163.19977521896362: 22886/47276
164.42236232757568: 22886/47276
165.55623054504395: 22904/47276
166.72539734840393: 22904/47276
167.9036009311676: 22904/47276
169.0716803073883: 22905/47276
170.19223713874817: 22905/47276
171.34646821022034: 22905/47276
172.49036860466003: 22905/47276
